Creating test database for alias 'default'...
Destroying test database for alias 'default'...
         10024283 function calls (9818849 primitive calls) in 10.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      593    0.004    0.000    0.315    0.001 manager.py:150(get)
    66894    0.080    0.000    0.312    0.000 query.py:34(__init__)
      656    0.001    0.000    0.311    0.000 models.py:1998(is_successful)
     9232    0.019    0.000    0.297    0.000 query.py:718(order_by)
    11068    0.012    0.000    0.297    0.000 base.py:69(<lambda>)
  334/292    0.002    0.000    0.282    0.001 models.py:355(get_effective_num_constraint)
      601    0.000    0.000    0.275    0.000 models.py:256(is_fail)
        3    0.000    0.000    0.271    0.090 models.py:168(complete_clean)
        1    0.000    0.000    0.270    0.270 runner.py:106(setup_databases)
        1    0.000    0.000    0.270    0.270 runner.py:233(setup_databases)
        1    0.000    0.000    0.269    0.269 creation.py:309(create_test_db)
      3/2    0.000    0.000    0.269    0.135 __init__.py:124(call_command)
    27478    0.110    0.000    0.265    0.000 query.py:1243(names_to_path)
     5553    0.016    0.000    0.262    0.000 manager.py:225(using)
       93    0.001    0.000    0.262    0.003 models.py:485(is_OK)
      598    0.000    0.000    0.262    0.000 models.py:75(is_fail)
      896    0.004    0.000    0.256    0.000 query.py:495(_update)
   148484    0.223    0.000    0.253    0.000 datastructures.py:127(__init__)
     9238    0.035    0.000    0.250    0.000 base.py:45(parse_datetime_with_timezone_support)
    18332    0.135    0.000    0.245    0.000 query.py:105(__init__)
        7    0.000    0.000    0.245    0.035 models.py:140(clean)
       14    0.000    0.000    0.244    0.017 models.py:683(complete_clean)
        2    0.000    0.000    0.244    0.122 base.py:412(handle)
    14245    0.019    0.000    0.236    0.000 manager.py:123(get_queryset)
    19743    0.078    0.000    0.236    0.000 __init__.py:150(cursor)
       43    0.000    0.000    0.234    0.005 models.py:609(complete_clean)
    40922    0.120    0.000    0.226    0.000 query.py:830(join)
      111    0.001    0.000    0.221    0.002 models.py:506(any_failed_checks)
      901    0.005    0.000    0.218    0.000 compiler.py:968(execute_sql)
   556081    0.148    0.000    0.217    0.000 {isinstance}
105388/105318    0.097    0.000    0.214    0.000 where.py:292(clone)
       26    0.000    0.000    0.212    0.008 models.py:1316(clean_and_completely_wired)
     4265    0.010    0.000    0.212    0.000 related.py:165(get_queryset)
    25199    0.048    0.000    0.210    0.000 compiler.py:795(<lambda>)
       12    0.000    0.000    0.209    0.017 models.py:1127(find_compatible_ER)
41885/22469    0.066    0.000    0.208    0.000 query.py:1146(need_having)
    19792    0.141    0.000    0.207    0.000 query.py:1371(trim_joins)
    12183    0.118    0.000    0.204    0.000 base.py:325(__init__)
27467/26235    0.021    0.000    0.204    0.000 dispatcher.py:162(send)
       37    0.002    0.000    0.198    0.005 models.py:949(clean)
     1092    0.001    0.000    0.198    0.000 models.py:292(is_raw)
       18    0.000    0.000    0.197    0.011 models.py:1499(check_ER_usable)
  390/326    0.001    0.000    0.194    0.001 models.py:346(is_restriction)
  384/320    0.002    0.000    0.193    0.001 models.py:328(is_restricted_by)
   151257    0.107    0.000    0.190    0.000 compiler.py:48(quote_name_unless_alias)
     9245    0.075    0.000    0.189    0.000 dateparse.py:58(parse_datetime)
    18497    0.019    0.000    0.185    0.000 base.py:456(convert_query)
    80366    0.034    0.000    0.184    0.000 query.py:916(join_parent_model)
  272/257    0.013    0.000    0.179    0.001 {__import__}
      291    0.001    0.000    0.178    0.001 models.py:273(definite)
      370    0.001    0.000    0.174    0.000 models.py:257(is_input)
       26    0.001    0.000    0.174    0.007 models.py:1206(clean)
    25095    0.015    0.000    0.174    0.000 {any}
   138622    0.115    0.000    0.171    0.000 base.py:207(quote_name)
        2    0.000    0.000    0.164    0.082 sql.py:208(emit_post_sync_signal)
        1    0.000    0.000    0.159    0.159 tests.py:37(tearDown)
    17684    0.020    0.000    0.159    0.000 compiler.py:32(pre_sql_setup)
        1    0.000    0.000    0.158    0.158 tests.py:187(tearDown)
     3197    0.017    0.000    0.158    0.000 related.py:262(get_queryset)
    41885    0.018    0.000    0.157    0.000 query.py:1155(<genexpr>)
   148484    0.122    0.000    0.156    0.000 datastructures.py:122(__new__)
       31    0.000    0.000    0.154    0.005 models.py:1194(create)
    18647    0.152    0.000    0.153    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       37    0.001    0.000    0.151    0.004 models.py:808(clean)
       44    0.000    0.000    0.150    0.003 models.py:1485(find_compatible_ER)
      901    0.016    0.000    0.150    0.000 compiler.py:923(as_sql)
       44    0.000    0.000    0.150    0.003 models.py:1098(find_compatible_ER)
